event_name,event_period_start,event_period_end,event_place
광안리 M(Marvelous) 드론 라이트쇼,2022.04.02.,2025.12.31.,부산광역시 수영구 광안리해수욕장
6시 퇴근,2024.05.17.,2024.08.11.,SH아트홀
누가 내 머리에 똥 쌌어? - 수원,2024.08.10.,2024.08.11.,경기아트센터 소극장
영웅 - 서울,2024.06.02.,2024.08.11.,세종문화회관 대극장
미오 프라텔로,2024.05.21.,2024.08.11.,링크아트센터 벅스홀
2024 ATEEZ WORLD TOUR [TOWARDS THE LIGHT : WILL TO POWER] IN NORTH AMERICA - 로즈몬트,2024.08.10.,2024.08.11.,Allstate Arena
등등곡,2024.06.11.,2024.08.11.,대학로 TOM(티오엠) 1관
헨젤과 그레텔 - 대구,2024.08.10.,2024.08.11.,대구오페라하우스
설민석의 한국사 대모험 영웅의 시간 - 서울,2024.07.27.,2024.08.11.,코엑스 오디토리움
최현우 APHANTASIA 아판타시아,2024.07.26.,2024.08.11.,소월아트홀
니키 <매직페이커> - 부산,2024.08.10.,2024.08.11.,소향씨어터 신한카드홀
PITTA 강형호 콘서트: New Normal Life - 수원,2024.08.10.,2024.08.11.,경기아트센터 대극장
두들팝 - 대전,2024.08.10.,2024.08.11.,평송청소년문화센터
세상친구,2024.07.05.,2024.08.11.,마포아트센터 플레이맥
JUMF 2024 전주얼티밋뮤직페스티벌,2024.08.09.,2024.08.11.,전주종합경기장 타임테이블
또봇-대도시의 영웅들 - 부천,2024.08.10.,2024.08.11.,부천시민회관 대공연장
엄마까투리는 슈퍼맘 - 천안,2024.08.10.,2024.08.11.,천안시성환문화회관
싸이 흠뻑쇼 SUMMER SWAG 2024 - 부산,2024.08.10.,2024.08.11.,부산아시아드주경기장
구구쌤의 매직쑈라구 - 부천,2024.08.10.,2024.08.11.,복사골문화센터 아트홀
고고다이노 해양구조대 - 과천,2024.07.27.,2024.08.11.,비상교육 대강당
콩쥐팥쥐 - 광명,2024.06.22.,2024.08.11.,소나무예술극장
IVE THE 1ST WORLD TOUR 'SHOW WHAT I HAVE' - ENCORE,2024.08.10.,2024.08.11.,KSPO DOME
침묵 9136,2024.08.07.,2024.08.11.,소극장혜화당
"""YOUR PLAYLIST"" 오케스트라 FESTA - 고양",2024.08.11.,2024.08.11.,고양아람누리 아람음악당
피노키오 - 울산,2024.08.11.,2024.08.11.,울산중구문화의전당 함월홀
오지학 귀국 피아노 독주회,2024.08.11.,2024.08.11.,금호아트홀 연세
예수 그리스도,2024.08.10.,2024.08.11.,숭실대학교 한경직기념관
백설공주 - 춘천,2024.08.11.,2024.08.11.,춘천인형극장
트루스토리,2024.07.09.,2024.08.11.,예그린씨어터
