k_date,title,place,lat,lon,url_link,start_date,end_date,area,category,dt
20240706 ~ 20240825,베어트리파크 SUMMER FESTIVAL,베어트리파크,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34385369&qvt=0&query=%EB%B2%A0%EC%96%B4%ED%8A%B8%EB%A6%AC%ED%8C%8C%ED%81%AC%20SUMMER%20FESTIVAL,20240706,20240825,,,
20240701 ~ 20240831,쁘띠프랑스 & 이탈리아마을 베니스가면축제,쁘띠프랑스 & 이탈리아마을,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=28375523&qvt=0&query=%EC%81%98%EB%9D%A0%ED%94%84%EB%9E%91%EC%8A%A4%20%EC%9D%B4%ED%83%88%EB%A6%AC%EC%95%84%EB%A7%88%EC%9D%84%20%EB%B2%A0%EB%8B%88%EC%8A%A4%EA%B0%80%EB%A9%B4%EC%B6%95%EC%A0%9C,20240701,20240831,,,
20240719 ~ 20240915,휴애리 유럽 수국축제,휴애리 자연생활공원 공원내,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=6006592&qvt=0&query=%ED%9C%B4%EC%95%A0%EB%A6%AC%20%EC%9C%A0%EB%9F%BD%20%EC%88%98%EA%B5%AD%EC%B6%95%EC%A0%9C,20240719,20240915,,,
20240622 ~ 20240825,한국민속촌 여름축제: 마른 하늘에 물벼락,한국민속촌,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=28412077&qvt=0&query=%ED%95%9C%EA%B5%AD%EB%AF%BC%EC%86%8D%EC%B4%8C%20%EC%97%AC%EB%A6%84%EC%B6%95%EC%A0%9C%20%EB%A7%88%EB%A5%B8%20%ED%95%98%EB%8A%98%EC%97%90%20%EB%AC%BC%EB%B2%BC%EB%9D%BD,20240622,20240825,,,
20240809 ~ 20241013,웨이뷰 코스모스 축제,웨이뷰,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=35056395&qvt=0&query=%EC%9B%A8%EC%9D%B4%EB%B7%B0%20%EC%BD%94%EC%8A%A4%EB%AA%A8%EC%8A%A4%20%EC%B6%95%EC%A0%9C,20240809,20241013,,,
20240617 ~ 20240823,화담숲 여름 수국 축제,화담숲,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=26436890&qvt=0&query=%ED%99%94%EB%8B%B4%EC%88%B2%20%EC%97%AC%EB%A6%84%20%EC%88%98%EA%B5%AD%20%EC%B6%95%EC%A0%9C,20240617,20240823,,,
20240615 ~ 20240831,이월드 트로피컬 아쿠아월드,이월드,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=3604955&qvt=0&query=%EC%9D%B4%EC%9B%94%EB%93%9C%20%ED%8A%B8%EB%A1%9C%ED%94%BC%EC%BB%AC%20%EC%95%84%EC%BF%A0%EC%95%84%EC%9B%94%EB%93%9C,20240615,20240831,,,
20240712 ~ 20240929,동강국제사진제,동강사진박물관,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=31718736&qvt=0&query=%EB%8F%99%EA%B0%95%EA%B5%AD%EC%A0%9C%EC%82%AC%EC%A7%84%EC%A0%9C,20240712,20240929,,,
20240720 ~ 20241020,용설애(愛) FESTA,용설아트스페이스,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=34309891&qvt=0&query=%EC%9A%A9%EC%84%A4%EC%95%A0%20%E6%84%9B%20FESTA,20240720,20241020,,,
20240803 ~ 20241109,신사리 상권 릴레이 이벤트,별빛 내린천 수변무대,,,https://search.naver.com/search.naver?where=nexearch&sm=tab_etc&mra=bk00&pkid=110&os=28897221&qvt=0&query=%EC%8B%A0%EC%82%AC%EB%A6%AC%20%EC%83%81%EA%B6%8C%20%EB%A6%B4%EB%A0%88%EC%9D%B4%20%EC%9D%B4%EB%B2%A4%ED%8A%B8,20240803,20241109,,,
